Dataset,Vertices,Edges,MaxEigen,Runtime_sec,Memory_MB,AvgDegree,Density,Lambda
ba_10k_m3,10000,29991,1.000000,0.047000,0.53,5.9982,5.998800e-04,22.415900
ws_5k_k6_p01,5000,15000,1.000000,0.082000,0.27,6.0000,1.200240e-03,6.161113
cit-DBLP,12592,49621,1.000000,0.047000,0.76,7.8814,6.259513e-04,42.818686
cit-HepTh,27769,352285,1.000000,0.195000,3.54,25.3725,9.137330e-04,111.251864
citeseer,3264,4536,1.000000,0.010000,0.13,2.7794,8.517964e-04,13.744249
cora,2708,5278,1.000000,0.013000,0.12,3.8981,1.440000e-03,14.390924
verify_complete_7,7,21,1.000000,0.000000,0.00,6.0000,1.000000e+00,6.000000
verify_cycle_6,6,6,1.000000,0.000000,0.00,2.0000,4.000000e-01,2.000000
verify_known_structure,20,35,1.000000,0.000000,0.00,3.5000,1.842105e-01,5.117167
verify_path_5,5,4,1.000000,0.000000,0.00,1.6000,4.000000e-01,1.714286
verify_star_9,9,8,1.000000,0.000000,0.00,1.7778,2.222222e-01,1.777778
er_1000_dense,1000,10053,1.000000,0.001000,0.11,20.1060,2.012613e-02,21.108089
er_1000_sparse,1000,2456,1.000000,0.001000,0.05,4.9120,4.916917e-03,6.091014
er_100_dense,100,1040,1.000000,0.000000,0.01,20.8000,2.101010e-01,21.513374
er_100_sparse,100,260,1.000000,0.000000,0.01,5.2000,5.252525e-02,6.211649
er_10k_dense,10000,50077,1.000000,0.013000,0.69,10.0154,1.001640e-03,11.092356
er_10k_sparse,10000,25066,1.000000,0.022000,0.50,5.0132,5.013701e-04,6.217254
er_500_dense,500,6213,1.000000,0.000000,0.06,24.8520,4.980361e-02,25.779278
er_500_sparse,500,1195,1.000000,0.000000,0.02,4.7800,9.579158e-03,6.137214
er_5k_dense,5000,37537,1.000000,0.008000,0.44,15.0148,3.003561e-03,16.061110
er_5k_sparse,5000,12236,1.000000,0.008000,0.25,4.8944,9.790758e-04,6.094666
ba_1k_m3,1000,2991,1.000000,0.001000,0.05,5.9820,5.987988e-03,14.989982
ba_1k_m5,1000,4975,1.000000,0.001000,0.07,9.9500,9.959960e-03,19.857241
ws_1k_k10_p03,1000,5000,1.000000,0.005000,0.07,10.0000,1.001001e-02,10.303601
ws_1k_k6_p01,1000,3000,1.000000,0.009000,0.05,6.0000,6.006006e-03,6.137011
er_5k_dense,5000,37537,1.000000,0.010000,0.44,15.0148,3.003561e-03,16.061110
er_5k_sparse,5000,12236,1.000000,0.009000,0.25,4.8944,9.790758e-04,6.094666
er_10k_dense,10000,50077,1.000000,0.014000,0.69,10.0154,1.001640e-03,11.092356
er_10k_sparse,10000,25066,1.000000,0.024000,0.50,5.0132,5.013701e-04,6.217254
ba_5k_m3,5000,14991,1.000000,0.011000,0.27,5.9964,1.199520e-03,19.142173
ba_5k_m5,5000,24975,1.000000,0.012000,0.34,9.9900,1.998400e-03,25.168131
ba_10k_m3,10000,29991,1.000000,0.049000,0.53,5.9982,5.998800e-04,20.924899
ws_5k_k6_p01,5000,15000,1.000000,0.070000,0.27,6.0000,1.200240e-03,6.160510
cit-DBLP,12592,49621,1.000000,0.035000,0.76,7.8814,6.259513e-04,42.818686
cit-HepTh,27769,352285,1.000000,0.183000,3.54,25.3725,9.137330e-04,111.251864
citeseer,3264,4536,1.000000,0.008000,0.13,2.7794,8.517964e-04,13.744249
cora,2708,5278,1.000000,0.012000,0.12,3.8981,1.440000e-03,14.390924
verify_complete_7,7,21,1.000000,0.000000,0.00,6.0000,1.000000e+00,6.000000
verify_cycle_6,6,6,1.000000,0.000000,0.00,2.0000,4.000000e-01,2.000000
verify_known_structure,20,35,1.000000,0.000000,0.00,3.5000,1.842105e-01,5.117167
verify_path_5,5,4,1.000000,0.000000,0.00,1.6000,4.000000e-01,1.714286
verify_star_9,9,8,1.000000,0.000000,0.00,1.7778,2.222222e-01,1.777778
er_1000_dense,1000,10174,1.000000,0.000000,0.11,20.3480,2.036837e-02,21.372012
er_1000_sparse,1000,2477,1.000000,0.000000,0.05,4.9540,4.958959e-03,6.187964
er_100_dense,100,1002,1.000000,0.000000,0.01,20.0400,2.024242e-01,20.993473
er_100_sparse,100,256,1.000000,0.000000,0.01,5.1200,5.171717e-02,5.985264
er_10k_dense,10000,50066,1.000000,0.016000,0.69,10.0132,1.001420e-03,11.126464
