Node,Betweenness,BridgingCoefficient,BridgingCentrality
916,0.0013293075,0.3333333333,0.0004431025
917,0.0033244479,0.3333333333,0.0011081493
3371,0.0023408940,0.3055555556,0.0007152732
1119,0.0005563202,0.3333333333,0.0001854401
3370,0.0026731163,0.6666666667,0.0017820775
677,0.0034136535,0.3333333333,0.0011378845
3050,0.0044545706,0.3166666667,0.0014106140
4444,0.0036868555,0.3888888889,0.0014337771
4446,0.0032145460,0.2916666667,0.0009375759
4445,0.0010390985,0.3750000000,0.0003896619
101,0.0004068504,0.3333333333,0.0001356168
1858,0.0013234972,0.3888888889,0.0005146933
1859,0.0041200898,0.3333333333,0.0013733633
1860,0.0008799263,0.3333333333,0.0002933088
1110,0.0021672349,0.4166666667,0.0009030145
1111,0.0061034277,0.3333333333,0.0020344759
2,0.0000603698,0.0000000000,0.0000000000
3,0.0001296582,0.5000000000,0.0000648291
99,0.0004522789,0.4444444444,0.0002010129
100,0.0015869365,0.3888888889,0.0006171420
738,0.0016957442,0.3888888889,0.0006594561
739,0.0028019314,0.3888888889,0.0010896400
740,0.0016153311,0.3888888889,0.0006281843
1298,0.0014100905,0.3888888889,0.0005483685
1862,0.0041229204,0.3611111111,0.0014888324
1863,0.0008614631,0.4166666667,0.0003589430
1838,0.0011413734,0.2916666667,0.0003329006
1839,0.0013709724,0.3333333333,0.0004569908
1840,0.0004197389,0.4166666667,0.0001748912
530,0.0012755292,0.3333333333,0.0004251764
531,0.0015859636,0.3333333333,0.0005286545
1817,0.0035862377,0.4166666667,0.0014942657
1818,0.0057637330,0.4444444444,0.0025616591
1819,0.0028501882,0.4444444444,0.0012667503
928,0.0029014926,0.3888888889,0.0011283582
929,0.0028551344,0.3333333333,0.0009517115
930,0.0007087155,0.3333333333,0.0002362385
93,0.0012933773,0.4444444444,0.0005748343
445,0.0008190959,0.3333333333,0.0002730320
446,0.0008873618,0.3333333333,0.0002957873
447,0.0011153841,0.3333333333,0.0003717947
1474,0.0031459485,0.3888888889,0.0012234244
1475,0.0031962980,0.3888888889,0.0012430048
1476,0.0006291612,0.3888888889,0.0002446738
141,0.0033249238,0.4166666667,0.0013853849
142,0.0012311626,0.3055555556,0.0003761886
4496,0.0028481943,0.3055555556,0.0008702816
4497,0.0012857069,0.3125000000,0.0004017834
4498,0.0016793466,0.2916666667,0.0004898094
2782,0.0017174605,0.3333333333,0.0005724868
1167,0.0050866342,0.3333333333,0.0016955447
1169,0.0029928312,0.3888888889,0.0011638788
706,0.0059633722,0.3958333333,0.0023605015
1328,0.0003588585,0.3333333333,0.0001196195
1329,0.0024662172,0.3333333333,0.0008220724
547,0.0014088169,0.3333333333,0.0004696056
567,0.0012545333,0.3333333333,0.0004181778
568,0.0007402333,0.3333333333,0.0002467444
569,0.0011570403,0.3333333333,0.0003856801
855,0.0012173946,0.4166666667,0.0005072477
856,0.0003937303,0.4444444444,0.0001749912
857,0.0046094680,0.3888888889,0.0017925709
347,0.0006010915,0.3333333333,0.0002003638
349,0.0015380280,0.3055555556,0.0004699530
2257,0.0016083576,0.3333333333,0.0005361192
2258,0.0022124308,0.3055555556,0.0006760205
3414,0.0039799045,0.3750000000,0.0014924642
3415,0.0026416796,0.3333333333,0.0008805599
3416,0.0010080904,0.3333333333,0.0003360301
369,0.0015013901,0.3888888889,0.0005838739
370,0.0024397506,0.3888888889,0.0009487919
665,0.0021198007,0.3333333333,0.0007066002
666,0.0007309863,0.3333333333,0.0002436621
667,0.0003951474,0.3333333333,0.0001317158
4360,0.0053788259,0.3611111111,0.0019423538
4362,0.0010795100,0.3333333333,0.0003598367
3610,0.0057335362,0.3541666667,0.0020306274
3613,0.0031793429,0.3611111111,0.0011480960
776,0.0033597415,0.3888888889,0.0013065661
777,0.0018029609,0.3750000000,0.0006761103
778,0.0021451067,0.4166666667,0.0008937945
2102,0.0020930485,0.3333333333,0.0006976828
2103,0.0005392768,0.3333333333,0.0001797589
2104,0.0034949405,0.3333333333,0.0011649802
953,0.0016917574,0.3888888889,0.0006579057
