Node_ID	Betweenness_Centrality
5608	85053.601562
1798	84706.445312
7181	84572.609375
71	84495.835938
2475	84382.500000
3399	84213.726562
353	84139.843750
11406	83771.789062
9164	83689.382812
275	83677.906250
1542	83595.125000
3700	83555.828125
2061	83372.234375
5269	83352.726562
7317	83278.117188
584	83058.507812
7231	82962.789062
4662	82720.632812
10978	82628.468750
4455	82520.523438
3470	82399.304688
1393	82397.859375
9654	82167.984375
1027	82093.570312
5788	82084.273438
3772	82024.375000
7850	81915.664062
1583	81885.585938
3161	81882.601562
11285	81842.773438
7227	81554.156250
367	81457.187500
8062	81371.468750
871	81137.398438
3883	80869.531250
1263	80769.789062
6954	80720.718750
12051	80667.812500
5056	80627.656250
1213	80557.828125
2762	80532.421875
750	80477.359375
8472	80287.921875
6965	79839.703125
207	79776.710938
5206	79770.882812
10144	79549.398438
1235	79485.804688
8068	79444.304688
4226	79376.273438
2354	79261.265625
2247	79244.585938
1187	79186.031250
8549	79168.320312
2570	79074.906250
789	78987.867188
469	78969.359375
172	78694.398438
8503	78662.031250
4986	78661.312500
5847	78659.007812
3284	78587.414062
12100	78519.359375
799	78503.765625
3832	78498.281250
297	78479.835938
5510	78348.171875
7546	78343.140625
2892	78334.812500
177	78286.304688
635	78045.914062
2373	78017.421875
9256	77856.531250
10990	77624.320312
7213	77560.437500
8729	77508.328125
7142	77363.453125
2052	77125.382812
6287	76775.976562
10342	76747.375000
1653	76536.210938
1297	76480.054688
195	76463.351562
2165	76397.578125
3839	76397.359375
999	76343.578125
5770	76340.148438
4495	76181.007812
8422	76060.187500
1150	75991.281250
7197	75937.804688
6882	75926.515625
2397	75859.031250
9512	75792.726562
11363	75756.851562
5780	75735.757812
975	75724.390625
2701	75668.109375
2255	75333.968750
7119	75289.023438
123	75261.875000
7151	75169.328125
1731	75132.656250
3246	75055.156250
8806	74841.687500
6914	74600.406250
418	74576.109375
3172	74556.328125
7876	74477.445312
6847	74470.937500
1030	74424.398438
