Node_ID	Betweenness_Centrality	Rank
1099	46674.488281	1006
6965	46567.187500	1007
1444	46557.921875	1008
5883	46479.496094	1009
2183	46472.148438	1010
6322	46450.351562	1011
184	46418.324219	1012
4440	46409.121094	1013
1772	46363.121094	1014
1176	46361.125000	1015
9706	46359.820312	1016
193	46291.429688	1017
1128	46290.144531	1018
3646	46086.371094	1019
1859	46079.480469	1020
1858	46023.238281	1021
9274	45884.949219	1022
6818	45858.796875	1023
467	45824.691406	1024
4901	45821.375000	1025
9635	45761.304688	1026
76	45543.292969	1027
3916	45539.597656	1028
5081	45529.738281	1029
3757	45426.621094	1030
620	45384.441406	1031
4093	45381.261719	1032
3161	45351.546875	1033
2480	45324.425781	1034
6014	45324.378906	1035
1475	45299.777344	1036
8828	45214.457031	1037
1388	45079.152344	1038
11907	45064.000000	1039
8162	44948.421875	1040
9591	44942.156250	1041
9115	44883.289062	1042
11612	44850.656250	1043
2083	44849.429688	1044
5515	44842.480469	1045
3081	44782.671875	1046
1851	44705.996094	1047
412	44621.601562	1048
5790	44586.496094	1049
5441	44534.324219	1050
354	44295.437500	1051
367	44287.253906	1052
8994	44233.382812	1053
4261	44206.664062	1054
5523	44110.773438	1055
10156	44062.500000	1056
4913	44035.453125	1057
8472	44017.078125	1058
7662	43967.578125	1059
1567	43923.039062	1060
1078	43846.746094	1061
2879	43807.507812	1062
10181	43686.914062	1063
11716	43661.406250	1064
1234	43565.828125	1065
3795	43559.738281	1066
1627	43543.570312	1067
12407	43539.574219	1068
9459	43539.574219	1069
7474	43539.574219	1070
142	43474.355469	1071
5039	43405.285156	1072
12051	43327.402344	1073
2150	43295.960938	1074
6947	43260.074219	1075
5510	43245.511719	1076
4227	43165.507812	1077
7546	43092.937500	1078
402	43053.492188	1079
10144	42996.207031	1080
123	42901.875000	1081
1834	42900.027344	1082
4982	42891.851562	1083
304	42861.585938	1084
6287	42775.957031	1085
7942	42774.066406	1086
1773	42683.406250	1087
9717	42561.550781	1088
5966	42559.097656	1089
9756	42549.933594	1090
3890	42460.214844	1091
6334	42356.085938	1092
8407	42342.468750	1093
6226	42150.796875	1094
2762	42071.632812	1095
8599	41863.050781	1096
10349	41778.988281	1097
651	41756.253906	1098
7227	41551.296875	1099
2455	41537.375000	1100
3470	41462.359375	1101
4732	41384.031250	1102
308	41303.187500	1103
7317	41295.484375	1104
2110	41253.496094	1105
10053	41238.859375	1106
8204	41169.511719	1107
836	41108.691406	1108
3968	41051.359375	1109
9654	40988.023438	1110
6341	40986.035156	1111
5847	40943.804688	1112
7914	40941.832031	1113
8681	40937.632812	1114
1260	40932.933594	1115
2652	40869.015625	1116
3255	40790.558594	1117
1235	40672.710938	1118
1263	40662.957031	1119
269	40631.027344	1120
3772	40610.476562	1121
4172	40593.531250	1122
2165	40521.367188	1123
1526	40444.597656	1124
9512	40299.628906	1125
5586	40229.183594	1126
5469	40176.617188	1127
118	40138.851562	1128
2420	40113.390625	1129
1302	40068.941406	1130
6758	39994.902344	1131
1332	39861.000000	1132
8422	39767.203125	1133
1767	39690.804688	1134
129	39576.187500	1135
3868	39542.812500	1136
6484	39541.578125	1137
9256	39512.687500	1138
3769	39456.449219	1139
3464	39448.761719	1140
12100	39435.566406	1141
7740	39362.839844	1142
2163	39325.445312	1143
2270	39322.777344	1144
8549	39207.222656	1145
7964	39157.046875	1146
6933	38909.390625	1147
11571	38890.593750	1148
8864	38889.242188	1149
11768	38827.167969	1150
3504	38788.726562	1151
157	38726.105469	1152
3031	38634.898438	1153
6847	38577.433594	1154
6684	38573.332031	1155
4428	38550.218750	1156
8729	38515.929688	1157
2941	38493.273438	1158
516	38478.542969	1159
952	38459.195312	1160
353	38411.023438	1161
4865	38345.117188	1162
3000	38271.660156	1163
