Node_ID	Betweenness_Centrality	Rank
1677	38249.671875	1164
8503	38160.730469	1165
1026	38153.722656	1166
155	38149.976562	1167
9154	38147.960938	1168
1820	38141.359375	1169
8627	38137.894531	1170
1451	38060.835938	1171
3122	38004.250000	1172
2751	37989.972656	1173
11305	37983.570312	1174
7702	37867.367188	1175
3645	37866.136719	1176
7117	37852.335938	1177
3250	37832.492188	1178
7119	37529.855469	1179
1013	37517.613281	1180
3492	37482.894531	1181
5210	37444.679688	1182
2448	37433.304688	1183
7151	37420.820312	1184
11363	37390.722656	1185
6757	37375.105469	1186
3576	37358.585938	1187
6756	37235.039062	1188
6769	37147.085938	1189
9172	37146.984375	1190
969	37084.761719	1191
7867	37032.617188	1192
2265	37031.082031	1193
2613	37019.628906	1194
2156	36998.503906	1195
534	36947.753906	1196
2360	36894.476562	1197
3245	36887.066406	1198
3079	36855.425781	1199
94	36795.933594	1200
994	36792.867188	1201
989	36766.042969	1202
5901	36707.996094	1203
659	36673.890625	1204
2050	36579.179688	1205
1771	36565.003906	1206
2026	36543.339844	1207
609	36469.058594	1208
1310	36467.632812	1209
305	36445.261719	1210
4495	36443.242188	1211
11420	36434.640625	1212
8009	36432.074219	1213
8403	36426.296875	1214
6535	36395.328125	1215
8614	36370.675781	1216
370	36364.679688	1217
7683	36357.777344	1218
1009	36324.484375	1219
8675	36253.410156	1220
2546	36249.562500	1221
903	36170.867188	1222
2734	36114.777344	1223
9251	36104.839844	1224
1503	36063.468750	1225
1588	36032.316406	1226
9394	35999.253906	1227
11140	35998.847656	1228
246	35988.355469	1229
6261	35966.796875	1230
2837	35907.292969	1231
9150	35889.910156	1232
769	35704.296875	1233
583	35673.984375	1234
7889	35667.886719	1235
3906	35647.335938	1236
1502	35591.042969	1237
978	35540.253906	1238
7590	35413.203125	1239
3860	35387.152344	1240
8390	35365.164062	1241
1476	35360.613281	1242
5944	35346.984375	1243
91	35316.917969	1244
11282	35316.019531	1245
6556	35218.277344	1246
1519	35141.179688	1247
1615	35128.261719	1248
7577	34991.191406	1249
8918	34926.031250	1250
9456	34816.457031	1251
6709	34814.972656	1252
3078	34811.996094	1253
452	34717.144531	1254
2115	34703.007812	1255
877	34699.617188	1256
10929	34632.640625	1257
3387	34536.636719	1258
174	34531.464844	1259
